Comment,Name,ShortName,BCID,エイリアス,,,,,Danger Flag,Description,Note
,,,,Deploy,SetBlockPosition,Clear,Activate,Inactivate,,,
**,Block Cmds for Mode Transition (シーケンスリスト),,,,,,,,,,
*,./src_user/Settings/Modes/Transitions/ で定義,,,,,,,,,,
,BC_SL_START_UP_TO_INITIAL,,0,,,,,,danger,,
,BC_SL_NOP ,,17,,,,,,danger,,
**,Block Cmds for TaskList (タスクリスト) : 286-300,,,,,,,,,,
*,./src_user/Settings/Modes/TaskLists/ で定義,,,,,,,,,,
,BC_TL_START_UP,,20,,,,,,danger,,
,BC_TL_INITIAL,,21,,,,,,danger,,
**,Block Cmds for Elements (App Rotator@@ Combinar),,,,,,,,,,
*,./src_user/Settings/Modes/TaskLists/Elements/ で定義,,,,,,,,,,
,BC_AR_DEBUG_DISPLAY_INI,,40,,,,,,danger,,
,BC_AR_DRIVERS_UPDATE_INI,,42,,,,,,danger,,
,BC_AR_GS_RELATED_PROCESS,,44,,,,,,danger,,
,BC_AC_TLM_CMD_HIRATE,,50,,,,,,danger,,
**,==== 各系領域 ====,,,,,,,,,,
*,./C2A/TlmCmd/NormalBlockCommandDefinition/で定義,,,,,,,,,,
*,イベントハンドラはBC_EH_など，接頭辞を適切につけること！,,,,,,,,,,
**,CDH:60-79,,,,,,,,,,
,BC_HK_CYCLIC_TLM,BC_HK10S,60,○,○,○,○,○,,,
,BC_RESERVED_FOR_HK,,77,,,,,,,EM電気試験でのコマンドファイルとのバッティングを防ぐ,
**,COMM:90-99,,,,,,,,,,
**,==== 地上からupする“のみ”領域 ====,,,,,,,,,,
*,C2Aでは使用しない,,,,,,,,,,
**,==== 追加領域 ====,,,,,,,,,,
**,Telemetry Manager,,,,,,,,,,
,BC_TLM_MGR_MASTER,,348,,,,,,,,
,BC_TLM_MGR_DEPLOY,,349,,,,,,,,
,BC_TLM_MGR_0,,350,,,,,,,,
,BC_TLM_MGR_1,,351,,,,,,,,
,BC_TLM_MGR_2,,352,,,,,,,,
,BC_TLM_MGR_3,,353,,,,,,,,
,BC_TLM_MGR_4,,354,,,,,,,,
,BC_TLM_MGR_5,,355,,,,,,,,
