,Target,OBC,,,,,,,,,,,,,,,
,PacketID,0x5d,,,,,,,,,,,,,,,
,Enable/Disable,ENABLE,,,,,,,,,,,,,,,
,IsRestricted,FALSE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Comment,TLM Entry,Onboard Software Info.,,Extraction Info.,,,,Conversion Info.,,,,,,,,Description,Note
,Name,Var.%%##Type,Variable or Function Name,Ext.%%##Type,Pos. Desiginator,,,Conv.%%##Type,Poly (ġa_i * x^i),,,,,,Status,,
,,,,,Octet%%##Pos.,bit%%##Pos.,bit%%##Len.,,a0,a1,a2,a3,a4,a5,,,
,PH.VER,uint16_t,,PACKET,0,0,3,NONE,,,,,,,,,
,PH.TYPE,,,PACKET,0,3,1,NONE,,,,,,,,,
,PH.SH_FLAG,,,PACKET,0,4,1,NONE,,,,,,,,,
,PH.APID,,,PACKET,0,5,11,NONE,,,,,,,,,
,PH.SEQ_FLAG,uint16_t,,PACKET,2,0,2,NONE,,,,,,,,,
,PH.SEQ_COUNT,,,PACKET,2,2,14,NONE,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,PACKET,4,0,16,NONE,,,,,,,,,
,SH.TI,uint32_t,,PACKET,6,0,32,NONE,,,,,,,,,
,SH.CATEGORY,uint8_t,,PACKET,10,0,8,NONE,,,,,,,,,
,SH.PACKET_IDENTIFIER,uint8_t,,PACKET,11,0,8,NONE,,,,,,,,,
,SH.PACKET_SEQ_FLAG,uint8_t,,PACKET,12,0,2,NONE,,,,,,,,,
,SH.ADU_COUNT,,,PACKET,12,2,6,NONE,,,,,,,,,
,TLM_INFO.RULE_SORTED_INDEX.PAGE_NO,uint8_t,event_handler->tlm_info.rule_sorted_index.page_no,PACKET,13,0,8,NONE,,,,,,,,,
,IDX0.GROUP,uint8_t,(uint8_t)event_handler->sorted_idxes[0 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].group,PACKET,14,0,8,NONE,,,,,,,,,
,IDX0.LOCAL,uint32_t,event_handler->sorted_idxes[0 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].local,PACKET,15,0,32,NONE,,,,,,,,,
,IDX0.DUPLICATE_ID,uint8_t,event_handler->sorted_idxes[0 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].duplicate_id,PACKET,19,0,8,NONE,,,,,,,,,
,IDX0.RULE_ID,uint8_t,(uint8_t)event_handler->sorted_idxes[0 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].rule_id,PACKET,20,0,8,NONE,,,,,,,,,
,IDX1.GROUP,uint8_t,(uint8_t)event_handler->sorted_idxes[1 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].group,PACKET,21,0,8,NONE,,,,,,,,,
,IDX1.LOCAL,uint32_t,event_handler->sorted_idxes[1 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].local,PACKET,22,0,32,NONE,,,,,,,,,
,IDX1.DUPLICATE_ID,uint8_t,event_handler->sorted_idxes[1 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].duplicate_id,PACKET,26,0,8,NONE,,,,,,,,,
,IDX1.RULE_ID,uint8_t,(uint8_t)event_handler->sorted_idxes[1 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].rule_id,PACKET,27,0,8,NONE,,,,,,,,,
,IDX2.GROUP,uint8_t,(uint8_t)event_handler->sorted_idxes[2 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].group,PACKET,28,0,8,NONE,,,,,,,,,
,IDX2.LOCAL,uint32_t,event_handler->sorted_idxes[2 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].local,PACKET,29,0,32,NONE,,,,,,,,,
,IDX2.DUPLICATE_ID,uint8_t,event_handler->sorted_idxes[2 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].duplicate_id,PACKET,33,0,8,NONE,,,,,,,,,
,IDX2.RULE_ID,uint8_t,(uint8_t)event_handler->sorted_idxes[2 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].rule_id,PACKET,34,0,8,NONE,,,,,,,,,
,IDX3.GROUP,uint8_t,(uint8_t)event_handler->sorted_idxes[3 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].group,PACKET,35,0,8,NONE,,,,,,,,,
,IDX3.LOCAL,uint32_t,event_handler->sorted_idxes[3 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].local,PACKET,36,0,32,NONE,,,,,,,,,
,IDX3.DUPLICATE_ID,uint8_t,event_handler->sorted_idxes[3 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].duplicate_id,PACKET,40,0,8,NONE,,,,,,,,,
,IDX3.RULE_ID,uint8_t,(uint8_t)event_handler->sorted_idxes[3 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].rule_id,PACKET,41,0,8,NONE,,,,,,,,,
,IDX4.GROUP,uint8_t,(uint8_t)event_handler->sorted_idxes[4 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].group,PACKET,42,0,8,NONE,,,,,,,,,
,IDX4.LOCAL,uint32_t,event_handler->sorted_idxes[4 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].local,PACKET,43,0,32,NONE,,,,,,,,,
,IDX4.DUPLICATE_ID,uint8_t,event_handler->sorted_idxes[4 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].duplicate_id,PACKET,47,0,8,NONE,,,,,,,,,
,IDX4.RULE_ID,uint8_t,(uint8_t)event_handler->sorted_idxes[4 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].rule_id,PACKET,48,0,8,NONE,,,,,,,,,
,IDX5.GROUP,uint8_t,(uint8_t)event_handler->sorted_idxes[5 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].group,PACKET,49,0,8,NONE,,,,,,,,,
,IDX5.LOCAL,uint32_t,event_handler->sorted_idxes[5 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].local,PACKET,50,0,32,NONE,,,,,,,,,
,IDX5.DUPLICATE_ID,uint8_t,event_handler->sorted_idxes[5 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].duplicate_id,PACKET,54,0,8,NONE,,,,,,,,,
,IDX5.RULE_ID,uint8_t,(uint8_t)event_handler->sorted_idxes[5 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].rule_id,PACKET,55,0,8,NONE,,,,,,,,,
,IDX6.GROUP,uint8_t,(uint8_t)event_handler->sorted_idxes[6 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].group,PACKET,56,0,8,NONE,,,,,,,,,
,IDX6.LOCAL,uint32_t,event_handler->sorted_idxes[6 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].local,PACKET,57,0,32,NONE,,,,,,,,,
,IDX6.DUPLICATE_ID,uint8_t,event_handler->sorted_idxes[6 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].duplicate_id,PACKET,61,0,8,NONE,,,,,,,,,
,IDX6.RULE_ID,uint8_t,(uint8_t)event_handler->sorted_idxes[6 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].rule_id,PACKET,62,0,8,NONE,,,,,,,,,
,IDX7.GROUP,uint8_t,(uint8_t)event_handler->sorted_idxes[7 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].group,PACKET,63,0,8,NONE,,,,,,,,,
,IDX7.LOCAL,uint32_t,event_handler->sorted_idxes[7 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].local,PACKET,64,0,32,NONE,,,,,,,,,
,IDX7.DUPLICATE_ID,uint8_t,event_handler->sorted_idxes[7 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].duplicate_id,PACKET,68,0,8,NONE,,,,,,,,,
,IDX7.RULE_ID,uint8_t,(uint8_t)event_handler->sorted_idxes[7 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].rule_id,PACKET,69,0,8,NONE,,,,,,,,,
,IDX8.GROUP,uint8_t,(uint8_t)event_handler->sorted_idxes[8 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].group,PACKET,70,0,8,NONE,,,,,,,,,
,IDX8.LOCAL,uint32_t,event_handler->sorted_idxes[8 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].local,PACKET,71,0,32,NONE,,,,,,,,,
,IDX8.DUPLICATE_ID,uint8_t,event_handler->sorted_idxes[8 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].duplicate_id,PACKET,75,0,8,NONE,,,,,,,,,
,IDX8.RULE_ID,uint8_t,(uint8_t)event_handler->sorted_idxes[8 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].rule_id,PACKET,76,0,8,NONE,,,,,,,,,
,IDX9.GROUP,uint8_t,(uint8_t)event_handler->sorted_idxes[9 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].group,PACKET,77,0,8,NONE,,,,,,,,,
,IDX9.LOCAL,uint32_t,event_handler->sorted_idxes[9 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].local,PACKET,78,0,32,NONE,,,,,,,,,
,IDX9.DUPLICATE_ID,uint8_t,event_handler->sorted_idxes[9 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].duplicate_id,PACKET,82,0,8,NONE,,,,,,,,,
,IDX9.RULE_ID,uint8_t,(uint8_t)event_handler->sorted_idxes[9 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].rule_id,PACKET,83,0,8,NONE,,,,,,,,,
,IDX10.GROUP,uint8_t,(uint8_t)event_handler->sorted_idxes[10 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].group,PACKET,84,0,8,NONE,,,,,,,,,
,IDX10.LOCAL,uint32_t,event_handler->sorted_idxes[10 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].local,PACKET,85,0,32,NONE,,,,,,,,,
,IDX10.DUPLICATE_ID,uint8_t,event_handler->sorted_idxes[10 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].duplicate_id,PACKET,89,0,8,NONE,,,,,,,,,
,IDX10.RULE_ID,uint8_t,(uint8_t)event_handler->sorted_idxes[10 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].rule_id,PACKET,90,0,8,NONE,,,,,,,,,
,IDX11.GROUP,uint8_t,(uint8_t)event_handler->sorted_idxes[11 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].group,PACKET,91,0,8,NONE,,,,,,,,,
,IDX11.LOCAL,uint32_t,event_handler->sorted_idxes[11 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].local,PACKET,92,0,32,NONE,,,,,,,,,
,IDX11.DUPLICATE_ID,uint8_t,event_handler->sorted_idxes[11 + event_handler->tlm_info.rule_sorted_index.page_no * EH_RULE_TLM_PAGE_SIZE].duplicate_id,PACKET,96,0,8,NONE,,,,,,,,,
