,Target,OBC,Local Var,,,,,,,,,,,,,,
,PacketID,0x58,,,,,,,,,,,,,,,
,Enable/Disable,ENABLE,,,,,,,,,,,,,,,
,IsRestricted,FALSE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Comment,TLM Entry,Onboard Software Info.,,Extraction Info.,,,,Conversion Info.,,,,,,,,Description,Note
,Name,Var.%%##Type,Variable or Function Name,Ext.%%##Type,Pos. Desiginator,,,Conv.%%##Type,Poly (ġa_i * x^i),,,,,,Status,,
,,,,,Octet%%##Pos.,bit%%##Pos.,bit%%##Len.,,a0,a1,a2,a3,a4,a5,,,
,PH.VER,uint16_t,,PACKET,0,0,3,NONE,,,,,,,,,
,PH.TYPE,,,PACKET,0,3,1,NONE,,,,,,,,,
,PH.SH_FLAG,,,PACKET,0,4,1,NONE,,,,,,,,,
,PH.APID,,,PACKET,0,5,11,NONE,,,,,,,,,
,PH.SEQ_FLAG,uint16_t,,PACKET,2,0,2,NONE,,,,,,,,,
,PH.SEQ_COUNT,,,PACKET,2,2,14,NONE,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,PACKET,4,0,16,NONE,,,,,,,,,
,SH.TI,uint32_t,,PACKET,6,0,32,NONE,,,,,,,,,
,SH.CATEGORY,uint8_t,,PACKET,10,0,8,NONE,,,,,,,,,
,SH.PACKET_IDENTIFIER,uint8_t,,PACKET,11,0,8,NONE,,,,,,,,,
,SH.PACKET_SEQ_FLAG,uint8_t,,PACKET,12,0,2,NONE,,,,,,,,,
,SH.ADU_COUNT,,,PACKET,12,2,6,NONE,,,,,,,,,
,TLM_INFO.CLOG.PAGE_NO,uint8_t,event_logger->tlm_info.clog.page_no,PACKET,13,0,8,NONE,,,,,,,,,
,TLM_INFO.CLOG.ERR_LEVEL,uint8_t,(uint8_t)event_logger->tlm_info.clog.err_level,PACKET,14,0,8,STATUS,,,,,,,0=HIGH@@ 1=MIDDLE@@ 2=LOW@@ 3=EL@@ *=N/A,,
,STATISTICS.RECORD_COUNTER_TOTAL,uint32_t,event_logger->statistics.record_counter_total,PACKET,15,0,32,NONE,,,,,,,,,
,STATISTICS.RECORD_COUNTERS_ERR_LEVEL,uint32_t,event_logger->statistics.record_counters[event_logger->tlm_info.clog.err_level],PACKET,19,0,32,NONE,,,,,,,,,
,CLOGS.LOG_CAPACITY,uint16_t,event_logger->clogs[event_logger->tlm_info.clog.err_level].log_capacity,PACKET,23,0,16,NONE,,,,,,,,,
,CLOGS.LOG0.EVENT.GROUP,uint8_t,(uint8_t)event_logger->clogs[event_logger->tlm_info.clog.err_level].logs[event_logger->clogs[event_logger->tlm_info.clog.err_level].log_orders[EL_CLOG_TLM_PAGE_SIZE*event_logger->tlm_info.clog.page_no+0]].event.group,PACKET,25,0,8,NONE,,,,,,,,,
,CLOGS.LOG0.EVENT.LOCAL,uint32_t,event_logger->clogs[event_logger->tlm_info.clog.err_level].logs[event_logger->clogs[event_logger->tlm_info.clog.err_level].log_orders[EL_CLOG_TLM_PAGE_SIZE*event_logger->tlm_info.clog.page_no+0]].event.local,PACKET,26,0,32,NONE,,,,,,,,,
,CLOGS.LOG0.EVENT.TIME.TOTAL_CYCLE,uint32_t,event_logger->clogs[event_logger->tlm_info.clog.err_level].logs[event_logger->clogs[event_logger->tlm_info.clog.err_level].log_orders[EL_CLOG_TLM_PAGE_SIZE*event_logger->tlm_info.clog.page_no+0]].event.time.total_cycle,PACKET,30,0,32,NONE,,,,,,,,,
,CLOGS.LOG0.EVENT.TIME.STEP,uint8_t,(uint8_t)event_logger->clogs[event_logger->tlm_info.clog.err_level].logs[event_logger->clogs[event_logger->tlm_info.clog.err_level].log_orders[EL_CLOG_TLM_PAGE_SIZE*event_logger->tlm_info.clog.page_no+0]].event.time.step,PACKET,34,0,8,NONE,,,,,,,,,
,CLOGS.LOG0.EVENT.NOTE,uint8_t,(uint8_t)event_logger->clogs[event_logger->tlm_info.clog.err_level].logs[event_logger->clogs[event_logger->tlm_info.clog.err_level].log_orders[EL_CLOG_TLM_PAGE_SIZE*event_logger->tlm_info.clog.page_no+0]].event.note,PACKET,35,0,8,NONE,,,,,,,,,
,CLOGS.LOG0.COUNT,uint16_t,event_logger->clogs[event_logger->tlm_info.clog.err_level].logs[event_logger->clogs[event_logger->tlm_info.clog.err_level].log_orders[EL_CLOG_TLM_PAGE_SIZE*event_logger->tlm_info.clog.page_no+0]].count,PACKET,36,0,16,NONE,,,,,,,,,
,CLOGS.LOG0.DELTA_RECORD_TIME.TOTAL_CYCLE,uint32_t,event_logger->clogs[event_logger->tlm_info.clog.err_level].logs[event_logger->clogs[event_logger->tlm_info.clog.err_level].log_orders[EL_CLOG_TLM_PAGE_SIZE*event_logger->tlm_info.clog.page_no+0]].delta_record_time.total_cycle,PACKET,38,0,32,NONE,,,,,,,,,
,CLOGS.LOG0.DELTA_RECORD_TIME.STEP,uint8_t,(uint8_t)event_logger->clogs[event_logger->tlm_info.clog.err_level].logs[event_logger->clogs[event_logger->tlm_info.clog.err_level].log_orders[EL_CLOG_TLM_PAGE_SIZE*event_logger->tlm_info.clog.page_no+0]].delta_record_time.step,PACKET,42,0,8,NONE,,,,,,,,,
