,Target,OBC,Local Var,,,,,,,,,,,,,,
,PacketID,0x57,EL_ERROR_LEVEL err_level = event_logger->tlm_info.tlog.err_level;##uint16_t offset = EL_TLOG_TLM_PAGE_SIZE * event_logger->tlm_info.tlog.page_no;##,,,,,,,,,,,,,,
,Enable/Disable,ENABLE,,,,,,,,,,,,,,,
,IsRestricted,FALSE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Comment,TLM Entry,Onboard Software Info.,,Extraction Info.,,,,Conversion Info.,,,,,,,,Description,Note
,Name,Var.%%##Type,Variable or Function Name,Ext.%%##Type,Pos. Desiginator,,,Conv.%%##Type,Poly (ġa_i * x^i),,,,,,Status,,
,,,,,Octet%%##Pos.,bit%%##Pos.,bit%%##Len.,,a0,a1,a2,a3,a4,a5,,,
,PH.VER,uint16_t,,PACKET,0,0,3,NONE,,,,,,,,,
,PH.TYPE,,,PACKET,0,3,1,NONE,,,,,,,,,
,PH.SH_FLAG,,,PACKET,0,4,1,NONE,,,,,,,,,
,PH.APID,,,PACKET,0,5,11,NONE,,,,,,,,,
,PH.SEQ_FLAG,uint16_t,,PACKET,2,0,2,NONE,,,,,,,,,
,PH.SEQ_COUNT,,,PACKET,2,2,14,NONE,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,PACKET,4,0,16,NONE,,,,,,,,,
,SH.TI,uint32_t,,PACKET,6,0,32,NONE,,,,,,,,,
,SH.CATEGORY,uint8_t,,PACKET,10,0,8,NONE,,,,,,,,,
,SH.PACKET_IDENTIFIER,uint8_t,,PACKET,11,0,8,NONE,,,,,,,,,
,SH.PACKET_SEQ_FLAG,uint8_t,,PACKET,12,0,2,NONE,,,,,,,,,
,SH.ADU_COUNT,,,PACKET,12,2,6,NONE,,,,,,,,,
,TLM_INFO.TLOG.PAGE_NO,uint8_t,event_logger->tlm_info.tlog.page_no,PACKET,13,0,8,NONE,,,,,,,,,
,TLM_INFO.TLOG.ERR_LEVEL,uint8_t,(uint8_t)((err_level << 4 & 0xf0) | (event_logger->tlogs[err_level].is_enable_overwrite << 3 & 0x08) | ( event_logger->tlogs[err_level].is_table_overflow << 2 & 0x04)),PACKET,14,0,4,STATUS,,,,,,,0=HIGH@@ 1=MIDDLE@@ 2=LOW@@ 3=EL@@ *=N/A,,
,TLOGS.IS_ENABLE_OVERWRITE,,,PACKET,14,4,1,NONE,,,,,,,,,
,TLOGS.IS_TABLE_OVERFLOW,,,PACKET,14,5,1,NONE,,,,,,,,,
,TLOGS.DUMMY,,,PACKET,14,6,2,NONE,,,,,,,,,
