,Target,OBC,Local Var,,,,,,,,,,,,,,
,PacketID,0xf0,,,,,,,,,,,,,,,
,Enable/Disable,ENABLE,,,,,,,,,,,,,,,
,IsRestricted,FALSE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Comment,TLM Entry,Onboard Software Info.,,Extraction Info.,,,,Conversion Info.,,,,,,,,Description,Note
,Name,Var.%%##Type,Variable or Function Name,Ext.%%##Type,Pos. Desiginator,,,Conv.%%##Type,Poly (Σa_i * x^i),,,,,,Status,,
,,,,,Octet%%##Pos.,bit%%##Pos.,bit%%##Len.,,a0,a1,a2,a3,a4,a5,,,
,PH.VER,uint16_t,,PACKET,0,0,3,NONE,,,,,,,,,
,PH.TYPE,,,PACKET,0,3,1,NONE,,,,,,,,,
,PH.SH_FLAG,,,PACKET,0,4,1,NONE,,,,,,,,,
,PH.APID,,,PACKET,0,5,11,NONE,,,,,,,,,
,PH.SEQ_FLAG,uint16_t,,PACKET,2,0,2,NONE,,,,,,,,,
,PH.SEQ_COUNT,,,PACKET,2,2,14,NONE,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,PACKET,4,0,16,NONE,,,,,,,,,
,SH.TI,uint32_t,,PACKET,6,0,32,NONE,,,,,,,,,
,SH.CATEGORY,uint8_t,,PACKET,10,0,8,NONE,,,,,,,,,
,SH.PACKET_IDENTIFIER,uint8_t,,PACKET,11,0,8,NONE,,,,,,,,,
,SH.PACKET_SEQ_FLAG,uint8_t,,PACKET,12,0,2,NONE,,,,,,,,,
,SH.ADU_COUNT,,,PACKET,12,2,6,NONE,,,,,,,,,
,OBC_TM_MODE_TIME,uint32_t,TMGR_get_master_clock().mode_cycle,PACKET,13,0,32,NONE,,,,,,,,,
,OBC_TM_UNIXTIME_AT_TI0,double,TMGR_get_obct_unixtime_info().unixtime_at_ti0,PACKET,17,0,64,NONE,,,,,,,,,
,OBC_MM_OPSMODE,uint8_t,(uint8_t)(mode_manager->current_id),PACKET,25,0,8,STATUS,,,,,,,0=START_UP@@1=INITIAL@@2=GND_TEST@@3=WDFAR@@4=RTC_HIGH_RATE@@5=5@@6=6@@7=7@@8=8@@9=9@@10=10@@11=11@@12=12@@13=13@@14=14@@15=15@@16=MAX@@*=N/A,,
,OBC_MM_STS,uint8_t,(uint8_t)( ((uint8_t)(mode_manager->stat) << 7 & 0x80) | ((uint8_t)(mode_manager->previous_id) & 0x7F) ),PACKET,26,0,1,STATUS,,,,,,,0=FINISHED@@1=PROGRESS@@*=N/A,,
,OBC_MM_OPSMODE_PREV,,,PACKET,26,1,7,STATUS,,,,,,,0=START_UP@@1=INITIAL@@2=GND_TEST@@3=WDFAR@@4=RTC_HIGH_RATE@@5=5@@6=6@@7=7@@8=8@@9=9@@10=10@@11=11@@12=12@@13=13@@14=14@@15=15@@16=MAX@@*=N/A,,
,OBC_TDSP_CURRENT_ID,uint16_t,TDSP_info->task_list_id,PACKET,27,0,16,NONE,,,,,,,,,
,OBC_TCF_LAST_RECV_ACK,uint8_t,(uint8_t)gs_driver->latest_info->rec_status,PACKET,29,0,8,STATUS,,,,,,,0=SUCCESS@@ 1=ERROR,TCFrame 受信処理結果,
,OBC_TCF_LAST_RECV_TIME,uint32_t,(uint32_t)gs_driver->latest_info->last_rec_time,PACKET,30,0,32,NONE,,,,,,,,最新TCFrame受信時刻,
,OBC_TCP_LAST_RECV_ACK,uint8_t,(uint8_t)(gs_driver->latest_info->cmd_ack),PACKET,34,0,8,STATUS,,,,,,,0=SUCCESS@@ 1=RT_ACPT@@ 2=RT_FWD@@ 3=LENGTH@@ 4=CRC@@ 5=TO_ID@@ 6=TC_DISC@@ 7=CM_TYPE@@ 8=LST_FUL@@ 9=TL_ACPT@@ 10=TL_PAST@@ 11=TL_EXST@@ 12=TL_NEXE@@ 13=TL_NFND@@ 14=BL_ACPT@@ 15=BL_BLK#@@ 16=BL_CMD#@@ 17=BL_ISOR@@ 18=BL_INAC@@ 19=BL_COMB@@ 20=TLM_DST@@ 21=UNKNOWN,最新TCPacket受信処理結果,
,OBC_GS_CMD_COUNTER,uint32_t,PL_count_executed_nodes(&PH_gs_cmd_list),PACKET,35,0,32,NONE,,,,,,,,地上局コマンドカウンタ,
,OBC_GS_CMD_LAST_EXEC_TIME,uint32_t,gs_command_dispatcher->prev.time.total_cycle,PACKET,39,0,32,NONE,,,,,,,,最新地上局コマンド実行時刻,
