,Target,OBC,Local Var,,,,,,,,,,,,,,
,PacketID,0x5b,uint16_t offset = event_handler->tlm_info.rule.page_no * EH_RULE_TLM_PAGE_SIZE;##const EH_Rule* rules = event_handler->rule_table.rules;##,,,,,,,,,,,,,,
,Enable/Disable,ENABLE,,,,,,,,,,,,,,,
,IsRestricted,FALSE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Comment,TLM Entry,Onboard Software Info.,,Extraction Info.,,,,Conversion Info.,,,,,,,,Description,Note
,Name,Var.%%##Type,Variable or Function Name,Ext.%%##Type,Pos. Desiginator,,,Conv.%%##Type,Poly (ġa_i * x^i),,,,,,Status,,
,,,,,Octet%%##Pos.,bit%%##Pos.,bit%%##Len.,,a0,a1,a2,a3,a4,a5,,,
,PH.VER,uint16_t,,PACKET,0,0,3,NONE,,,,,,,,,
,PH.TYPE,,,PACKET,0,3,1,NONE,,,,,,,,,
,PH.SH_FLAG,,,PACKET,0,4,1,NONE,,,,,,,,,
,PH.APID,,,PACKET,0,5,11,NONE,,,,,,,,,
,PH.SEQ_FLAG,uint16_t,,PACKET,2,0,2,NONE,,,,,,,,,
,PH.SEQ_COUNT,,,PACKET,2,2,14,NONE,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,PACKET,4,0,16,NONE,,,,,,,,,
,SH.VER,uint8_t,,PACKET,6,0,8,NONE,,,,,,,,,
,SH.TI,uint32_t,,PACKET,7,0,32,NONE,,,,,,,,,
,SH.TLM_ID,uint8_t,,PACKET,11,0,8,HEX,,,,,,,,,
,SH.GLOBAL_TIME,double,,PACKET,12,0,64,NONE,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,PACKET,20,0,32,NONE,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,PACKET,24,0,8,HEX,,,,,,,,,
,SH.DR_PARTITION,uint8_t,,PACKET,25,0,8,NONE,,,,,,,,,
,TLM_INFO.RULE.PAGE_NO,uint8_t,event_handler->tlm_info.rule.page_no,PACKET,26,0,8,NONE,,,,,,,,,
,RULE_TABLE.REGISTERED_RULE_NUM,uint16_t,event_handler->rule_table.registered_rule_num,PACKET,27,0,16,NONE,,,,,,,,,
,RULE0.SETTINGS.EVENT.GROUP,uint8_t,(uint8_t)rules[0 + offset].settings.event.group,PACKET,29,0,8,NONE,,,,,,,,,
,RULE0.SETTINGS.EVENT.LOCAL,uint32_t,rules[0 + offset].settings.event.local,PACKET,30,0,32,NONE,,,,,,,,,
,RULE0.SETTINGS.EVENT.ERR_LEVEL,uint8_t,(uint8_t)((((uint8_t)rules[0 + offset].settings.event.err_level) << 5 & 0xe0) | (rules[0 + offset].settings.should_match_err_level << 4 & 0x10) | (rules[0 + offset].settings.is_active << 3 & 0x08) | (((uint8_t)rules[0 + offset].settings.condition.type) & 0x07)),PACKET,34,0,3,STATUS,,,,,,,0=HIGH@@ 1=MIDDLE@@ 2=LOW@@ 3=EL@@ 4=EH@@ *=N/A,,
,RULE0.SETTINGS.SHOULD_MATCH_ERR_LEVEL,,,PACKET,34,3,1,STATUS,,,,,,,0=NO@@ 1=YES@@ *=N/A,,
,RULE0.SETTINGS.IS_ACTIVE,,,PACKET,34,4,1,STATUS,,,,,,,0=INACTIVE@@ 1=ACTIVE@@ *=N/A,,
,RULE0.SETTINGS.CONDITION.TYPE,,,PACKET,34,5,3,STATUS,,,,,,,0=SINGLE@@ 1=CONTINUOUS@@ 2=CUMULATIVE@@ *=N/A,,
,RULE0.SETTINGS.CONDITION.COUNT_THRESHOLD,uint16_t,rules[0 + offset].settings.condition.count_threshold,PACKET,35,0,16,NONE,,,,,,,,,
,RULE0.SETTINGS.CONDITION.TIME_THRESHOLD_MS,uint32_t,rules[0 + offset].settings.condition.time_threshold_ms,PACKET,37,0,32,NONE,,,,,,,,,
,RULE0.SETTINGS.DEPLOY_BCT_ID,uint16_t,(uint16_t)rules[0 + offset].settings.deploy_bct_id,PACKET,41,0,16,NONE,,,,,,,,,
