Component,Name,Target,Code,Params,,,,,,,,,,,,,Danger Flag,Is Restricted,Description,Note
MOBC,,,,Num Params,Param1,,Param2,,Param3,,Param4,,Param5,,Param6,,,,,
Comment,,,,,Type,Description,Type,Description,Type,Description,Type,Description,Type,Description,Type,Description,,,,
*,Cmd_EXAMPLE,OBC,,2,uint32_t,address,int32_t,time [ms],,,,,,,,,,,,PIiFtime [ms]j* POWER,
* COM,
* MISSION,
* PROP,
* AOCS,
* Thermal,
* Trajectory,
* HILS,
* C2A_CORE,
,Cmd_NOP,OBC,0x0,0,,,,,,,,,,,,,,,ダミーコマンド,,
,Cmd_TMGR_SET_TIME,OBC,0x1,1,uint32_t,,,,,,,,,,,,,,MOBC時刻設定コマンド,,
,Cmd_TMGR_UPDATE_UNIXTIME,OBC,0x2,3,double,,uint32_t,,uint32_t,,,,,,,,,,MOBC UNIXTIME修正コマンド,,
,Cmd_TMGR_SET_UTL_UNIXTIME_EPOCH,OBC,0x3,1,double,,,,,,,,,,,,,,UTL_cmdで用いるunixtimeの紀元を変更する,utl_unixtime_epoch [s],
,Cmd_TMGR_SET_CYCLE_CORRECTION,OBC,0x4,1,double,,,,,,,,,,,,,,CYCLES_PER_SECの補正倍率を変更する@@ 初期値は1.0,,
,Cmd_TMGR_RESET_CYCLE_CORRECTION,OBC,0x5,0,,,,,,,,,,,,,,,CYCLES_PER_SECの補正倍率を1.0に初期化する,,
,Cmd_TMGR_CLEAR_UNIXTIME_INFO,OBC,0x6,0,,,,,,,,,,,,,,,unixtime_info_ を初期化する,,
,Cmd_AM_REGISTER_APP,OBC,0x7,3,uint32_t,,uint32_t,,uint32_t,,,,,,,,,,アプリ登録コマンド,,
,Cmd_AM_INITIALIZE_APP,OBC,0x8,1,uint32_t,,,,,,,,,,,,,,アプリ初期化コマンド,,
,Cmd_AM_EXECUTE_APP,OBC,0x9,1,uint32_t,,,,,,,,,,,,,,アプリ実行コマンド,,
,Cmd_AM_SET_PAGE_FOR_TLM,OBC,0xa,1,uint8_t,,,,,,,,,,,,,,テレメトリ生成用ページ番号設定,,
,Cmd_AM_CLEAR_APP_INFO,OBC,0xb,0,,,,,,,,,,,,,danger,,アプリ実行時間計測の初期化,,
,Cmd_MM_SET_MODE_LIST,OBC,0xc,2,uint8_t,,uint16_t,,,,,,,,,,,,モード定義リスト設定コマンド,,
,Cmd_MM_SET_TRANSITION_TABLE,OBC,0xd,3,uint8_t,,uint8_t,,uint16_t,,,,,,,,,,モード遷移定義テーブル書き換えコマンド,,
